name,wiki_url
Jennifer Abbott,https://en.wikipedia.org/wiki/Jennifer_Abbott
Marguerite Abouet,https://en.wikipedia.org/wiki/Marguerite_Abouet
Abiola Abrams,https://en.wikipedia.org/wiki/Abiola_Abrams
Jill Ackles,https://en.wikipedia.org/wiki/Jill_Ackles
Joey Lauren Adams,https://en.wikipedia.org/wiki/Joey_Lauren_Adams
Perry Miller Adato,https://en.wikipedia.org/wiki/Perry_Miller_Adato
Maren Ade,https://en.wikipedia.org/wiki/Maren_Ade
Yasmin Ahmad,https://en.wikipedia.org/wiki/Yasmin_Ahmad
Peggy Ahwesh,https://en.wikipedia.org/wiki/Peggy_Ahwesh
Kyōko Aizome,https://en.wikipedia.org/wiki/Ky%C5%8Dko_Aizome
Mania Akbari,https://en.wikipedia.org/wiki/Mania_Akbari
Chantal Akerman,https://en.wikipedia.org/wiki/Chantal_Akerman
Zoya Akhtar,https://en.wikipedia.org/wiki/Zoya_Akhtar
Nargis Akhter,https://en.wikipedia.org/wiki/Nargis_Akhter
Haifaa al-Mansour,https://en.wikipedia.org/wiki/Haifaa_al-Mansour
Gina Alajar,https://en.wikipedia.org/wiki/Gina_Alajar
Barbara Albert,https://en.wikipedia.org/wiki/Barbara_Albert
Lexi Alexander,https://en.wikipedia.org/wiki/Lexi_Alexander
Debbie Allen,https://en.wikipedia.org/wiki/Debbie_Allen
Chihiro Amano,https://en.wikipedia.org/wiki/Chihiro_Amano
Suzana Amaral,https://en.wikipedia.org/wiki/Suzana_Amaral
Tata Amaral,https://en.wikipedia.org/wiki/Tata_Amaral
Ana Lily Amirpour,https://en.wikipedia.org/wiki/Ana_Lily_Amirpour
Allison Anders,https://en.wikipedia.org/wiki/Allison_Anders
Jane Anderson,https://en.wikipedia.org/wiki/Jane_Anderson
Sarah Pia Anderson,https://en.wikipedia.org/wiki/Sarah_Pia_Anderson
Gillian Anderson,https://en.wikipedia.org/wiki/Gillian_Anderson
Momoko Ando,https://en.wikipedia.org/wiki/Momoko_Ando
Preeti Aneja,https://en.wikipedia.org/wiki/Preeti_Aneja
Jennifer Aniston,https://en.wikipedia.org/wiki/Jennifer_Aniston
Catherine Annau,https://en.wikipedia.org/wiki/Catherine_Annau
Martha Ansara,https://en.wikipedia.org/wiki/Martha_Ansara
Lisa Rose Apramian,https://en.wikipedia.org/wiki/Lisa_Rose_Apramian
Shamim Ara,https://en.wikipedia.org/wiki/Shamim_Ara
Danielle Arbid,https://en.wikipedia.org/wiki/Danielle_Arbid
Louise Archambault,https://en.wikipedia.org/wiki/Louise_Archambault
Francesca Archibugi,https://en.wikipedia.org/wiki/Francesca_Archibugi
Asia Argento,https://en.wikipedia.org/wiki/Asia_Argento
Franny Armstrong,https://en.wikipedia.org/wiki/Franny_Armstrong
Gillian Armstrong,https://en.wikipedia.org/wiki/Gillian_Armstrong
Gwen Arner,https://en.wikipedia.org/wiki/Gwen_Arner
Andrea Arnold,https://en.wikipedia.org/wiki/Andrea_Arnold
Patricia Arquette,https://en.wikipedia.org/wiki/Patricia_Arquette
Rosanna Arquette,https://en.wikipedia.org/wiki/Rosanna_Arquette
Karen Arthur,https://en.wikipedia.org/wiki/Karen_Arthur
Natasha Arthy,https://en.wikipedia.org/wiki/Natasha_Arthy
Dorothy Arzner,https://en.wikipedia.org/wiki/Dorothy_Arzner
Dinara Asanova,https://en.wikipedia.org/wiki/Dinara_Asanova
Amma Asante,https://en.wikipedia.org/wiki/Amma_Asante
Mari Asato,https://en.wikipedia.org/wiki/Mari_Asato
Jacqueline Audry,https://en.wikipedia.org/wiki/Jacqueline_Audry
Shona Auerbach,https://en.wikipedia.org/wiki/Shona_Auerbach
Nurith Aviv,https://en.wikipedia.org/wiki/Nurith_Aviv
Ronit Avni,https://en.wikipedia.org/wiki/Ronit_Avni
Lisa Azuelos,https://en.wikipedia.org/wiki/Lisa_Azuelos
Beth B,https://en.wikipedia.org/wiki/Beth_B
Jamie Babbit,https://en.wikipedia.org/wiki/Jamie_Babbit
Iskra Babich,https://en.wikipedia.org/wiki/Iskra_Babich
Julia Bacha,https://en.wikipedia.org/wiki/Julia_Bacha
Yamina Bachir-Chouikh,https://en.wikipedia.org/wiki/Yamina_Bachir-Chouikh
Marina Rice Bader,https://en.wikipedia.org/wiki/Marina_Rice_Bader
Cindy Baer,https://en.wikipedia.org/wiki/Cindy_Baer
Jennifer Baichwal,https://en.wikipedia.org/wiki/Jennifer_Baichwal
Paule Baillargeon,https://en.wikipedia.org/wiki/Paule_Baillargeon
Robin Bain,https://en.wikipedia.org/wiki/Robin_Bain
Josiane Balasko,https://en.wikipedia.org/wiki/Josiane_Balasko
Lucille Ball,https://en.wikipedia.org/wiki/Lucille_Ball
Anne Bancroft,https://en.wikipedia.org/wiki/Anne_Bancroft
Rakhshan Bani-Etemad,https://en.wikipedia.org/wiki/Rakhshan_Bani-Etemad
André-Line Beauparlant,https://en.wikipedia.org/wiki/Andr%C3%A9-Line_Beauparlant
Manon Barbeau,https://en.wikipedia.org/wiki/Manon_Barbeau
Laurence Ferreira Barbosa,https://en.wikipedia.org/wiki/Laurence_Ferreira_Barbosa
Laura Bari,https://en.wikipedia.org/wiki/Laura_Bari
Neema Barnette,https://en.wikipedia.org/wiki/Neema_Barnette
Roseanne Barr,https://en.wikipedia.org/wiki/Roseanne_Barr
Drew Barrymore,https://en.wikipedia.org/wiki/Drew_Barrymore
Angela Bassett,https://en.wikipedia.org/wiki/Angela_Bassett
Joy Batchelor,https://en.wikipedia.org/wiki/Joy_Batchelor
Kathy Bates,https://en.wikipedia.org/wiki/Kathy_Bates
Signe Baumane,https://en.wikipedia.org/wiki/Signe_Baumane
Jordan Bayne,https://en.wikipedia.org/wiki/Jordan_Bayne
Amanda Bearse,https://en.wikipedia.org/wiki/Amanda_Bearse
Maria Beatty,https://en.wikipedia.org/wiki/Maria_Beatty
Gabrielle Beaumont,https://en.wikipedia.org/wiki/Gabrielle_Beaumont
Aida Begic,https://en.wikipedia.org/wiki/Aida_Begic
Fatma Begum,https://en.wikipedia.org/wiki/Fatma_Begum
Feryal Behzad,https://en.wikipedia.org/wiki/Feryal_Behzad
Esther Bell,https://en.wikipedia.org/wiki/Esther_Bell
Mary Lou Belli,https://en.wikipedia.org/wiki/Mary_Lou_Belli
Edet Belzberg,https://en.wikipedia.org/wiki/Edet_Belzberg
María Luisa Bemberg,https://en.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Bemberg
Jessica Bendinger,https://en.wikipedia.org/wiki/Jessica_Bendinger
Yamina Benguigui,https://en.wikipedia.org/wiki/Yamina_Benguigui
Sadie Benning,https://en.wikipedia.org/wiki/Sadie_Benning
Amber Benson,https://en.wikipedia.org/wiki/Amber_Benson
Shari Springer Berman,https://en.wikipedia.org/wiki/Shari_Springer_Berman
Joyce Bernal,https://en.wikipedia.org/wiki/Joyce_Bernal
Juliet Berto,https://en.wikipedia.org/wiki/Juliet_Berto
Diane Bertrand,https://en.wikipedia.org/wiki/Diane_Bertrand
Maïwenn Le Besco,https://en.wikipedia.org/wiki/Ma%C3%AFwenn_Le_Besco
Jane Marsh Beveridge,https://en.wikipedia.org/wiki/Jane_Marsh_Beveridge
Troy Beyer,https://en.wikipedia.org/wiki/Troy_Beyer
Pooja Bhatt,https://en.wikipedia.org/wiki/Pooja_Bhatt
Susanne Bier,https://en.wikipedia.org/wiki/Susanne_Bier
Kathryn Bigelow,https://en.wikipedia.org/wiki/Kathryn_Bigelow
Anna Biller,https://en.wikipedia.org/wiki/Anna_Biller
Patricia Birch,https://en.wikipedia.org/wiki/Patricia_Birch
Antonia Bird,https://en.wikipedia.org/wiki/Antonia_Bird
Simone Bitton,https://en.wikipedia.org/wiki/Simone_Bitton
Sonia Blangiardo,https://en.wikipedia.org/wiki/Sonia_Blangiardo
Lidia Bobrova,https://en.wikipedia.org/wiki/Lidia_Bobrova
Anna Boden,https://en.wikipedia.org/wiki/Anna_Boden
Icíar Bollaín,https://en.wikipedia.org/wiki/Ic%C3%ADar_Bolla%C3%ADn
Natalya Bondarchuk,https://en.wikipedia.org/wiki/Natalya_Bondarchuk
Lisa Bonet,https://en.wikipedia.org/wiki/Lisa_Bonet
Sandrine Bonnaire,https://en.wikipedia.org/wiki/Sandrine_Bonnaire
Manju Borah,https://en.wikipedia.org/wiki/Manju_Borah
Shonali Bose,https://en.wikipedia.org/wiki/Shonali_Bose
Karen Boswall,https://en.wikipedia.org/wiki/Karen_Boswall
Leyla Bouzid,https://en.wikipedia.org/wiki/Leyla_Bouzid
Kansas Bowling,https://en.wikipedia.org/wiki/Kansas_Bowling
Muriel Box,https://en.wikipedia.org/wiki/Muriel_Box
Maureen Bradley,https://en.wikipedia.org/wiki/Maureen_Bradley
Maryann Brandon,https://en.wikipedia.org/wiki/Maryann_Brandon
Anja Breien,https://en.wikipedia.org/wiki/Anja_Breien
Catherine Breillat,https://en.wikipedia.org/wiki/Catherine_Breillat
Isabelle Breitman,https://en.wikipedia.org/wiki/Isabelle_Breitman
Zana Briski,https://en.wikipedia.org/wiki/Zana_Briski
Beth Broderick,https://en.wikipedia.org/wiki/Beth_Broderick
Katrina Holden Bronson,https://en.wikipedia.org/wiki/Katrina_Holden_Bronson
Katherine Brooks,https://en.wikipedia.org/wiki/Katherine_Brooks
Julie Brown,https://en.wikipedia.org/wiki/Julie_Brown
Christene Browne,https://en.wikipedia.org/wiki/Christene_Browne
Frances Buss Buch,https://en.wikipedia.org/wiki/Frances_Buss_Buch
Valerie Buhagiar,https://en.wikipedia.org/wiki/Valerie_Buhagiar
Nanette Burstein,https://en.wikipedia.org/wiki/Nanette_Burstein
Maria Burton,https://en.wikipedia.org/wiki/Maria_Burton
Sophia Bush,https://en.wikipedia.org/wiki/Sophia_Bush
Akosua Busia,https://en.wikipedia.org/wiki/Akosua_Busia
Dominique Cabrera,https://en.wikipedia.org/wiki/Dominique_Cabrera
Sophia Cacciola,https://en.wikipedia.org/wiki/Sophia_Cacciola
Anne-Marie Cadieux,https://en.wikipedia.org/wiki/Anne-Marie_Cadieux
Julia Cameron,https://en.wikipedia.org/wiki/Julia_Cameron
Tisha Campbell-Martin,https://en.wikipedia.org/wiki/Tisha_Campbell-Martin
Jane Campion,https://en.wikipedia.org/wiki/Jane_Campion
Kat Candler,https://en.wikipedia.org/wiki/Kat_Candler
Dyan Cannon,https://en.wikipedia.org/wiki/Dyan_Cannon
Fernanda Cardoso,https://en.wikipedia.org/wiki/Fernanda_Cardoso
Patricia Cardoso,https://en.wikipedia.org/wiki/Patricia_Cardoso
Edith Carlmar,https://en.wikipedia.org/wiki/Edith_Carlmar
Niki Caro,https://en.wikipedia.org/wiki/Niki_Caro
Albertina Carri,https://en.wikipedia.org/wiki/Albertina_Carri
Camille de Casabianca,https://en.wikipedia.org/wiki/Camille_de_Casabianca
Alana Cash,https://en.wikipedia.org/wiki/Alana_Cash
Alexandra Cassavetes,https://en.wikipedia.org/wiki/Alexandra_Cassavetes
Zoe Cassavetes,https://en.wikipedia.org/wiki/Zoe_Cassavetes
Cecil Castellucci,https://en.wikipedia.org/wiki/Cecil_Castellucci
Liliana Cavani,https://en.wikipedia.org/wiki/Liliana_Cavani
Jennifer Celotta,https://en.wikipedia.org/wiki/Jennifer_Celotta
Gurinder Chadha,https://en.wikipedia.org/wiki/Gurinder_Chadha
Ilene Chaiken,https://en.wikipedia.org/wiki/Ilene_Chaiken
Tanuja Chandra,https://en.wikipedia.org/wiki/Tanuja_Chandra
Sylvia Chang,https://en.wikipedia.org/wiki/Sylvia_Chang
Lilyan Chauvin,https://en.wikipedia.org/wiki/Lilyan_Chauvin
Shu Lea Cheang,https://en.wikipedia.org/wiki/Shu_Lea_Cheang
Shirley Cheechoo,https://en.wikipedia.org/wiki/Shirley_Cheechoo
Joan Chen,https://en.wikipedia.org/wiki/Joan_Chen
Mabel Cheung,https://en.wikipedia.org/wiki/Mabel_Cheung
Sagari Chhabra,https://en.wikipedia.org/wiki/Sagari_Chhabra
Patricia Chica,https://en.wikipedia.org/wiki/Patricia_Chica
Abigail Child,https://en.wikipedia.org/wiki/Abigail_Child
Lisa Cholodenko,https://en.wikipedia.org/wiki/Lisa_Cholodenko
Joyce Chopra,https://en.wikipedia.org/wiki/Joyce_Chopra
Zero Chou,https://en.wikipedia.org/wiki/Zero_Chou
Věra Chytilová,https://en.wikipedia.org/wiki/V%C4%9Bra_Chytilov%C3%A1
Katerina Cizek,https://en.wikipedia.org/wiki/Katerina_Cizek
Shirley Clarke,https://en.wikipedia.org/wiki/Shirley_Clarke
Maja Classen,https://en.wikipedia.org/wiki/Maja_Classen
Susan Cohen,https://en.wikipedia.org/wiki/Susan_Cohen
Isabel Coixet,https://en.wikipedia.org/wiki/Isabel_Coixet
Giada Colagrande,https://en.wikipedia.org/wiki/Giada_Colagrande
Janis Cole,https://en.wikipedia.org/wiki/Janis_Cole
Cristina Comencini,https://en.wikipedia.org/wiki/Cristina_Comencini
Nicole Conn,https://en.wikipedia.org/wiki/Nicole_Conn
Heather Connell,https://en.wikipedia.org/wiki/Heather_Connell
Lisa Connor,https://en.wikipedia.org/wiki/Lisa_Connor
Janice Cooke-Leonard,https://en.wikipedia.org/wiki/Janice_Cooke-Leonard
Martha Coolidge,https://en.wikipedia.org/wiki/Martha_Coolidge
Nancy Cooperstein,https://en.wikipedia.org/wiki/Nancy_Cooperstein
Eleanor Coppola,https://en.wikipedia.org/wiki/Eleanor_Coppola
Sofia Coppola,https://en.wikipedia.org/wiki/Sofia_Coppola
Cristina Kotz Cornejo,https://en.wikipedia.org/wiki/Cristina_Kotz_Cornejo
Catherine Corsini,https://en.wikipedia.org/wiki/Catherine_Corsini
Michèle Cournoyer,https://en.wikipedia.org/wiki/Mich%C3%A8le_Cournoyer
Courteney Cox,https://en.wikipedia.org/wiki/Courteney_Cox
Leanna Creel,https://en.wikipedia.org/wiki/Leanna_Creel
Emma-Kate Croghan,https://en.wikipedia.org/wiki/Emma-Kate_Croghan
Catherine Crouch,https://en.wikipedia.org/wiki/Catherine_Crouch
Fiona Cumming,https://en.wikipedia.org/wiki/Fiona_Cumming
Carolynne Cunningham,https://en.wikipedia.org/wiki/Carolynne_Cunningham
Shelley Curtis,https://en.wikipedia.org/wiki/Shelley_Curtis
Cherien Dabis,https://en.wikipedia.org/wiki/Cherien_Dabis
Eva Dahr,https://en.wikipedia.org/wiki/Eva_Dahr
Holly Dale,https://en.wikipedia.org/wiki/Holly_Dale
Mireille Dansereau,https://en.wikipedia.org/wiki/Mireille_Dansereau
Gia Darling,https://en.wikipedia.org/wiki/Gia_Darling
Joan Darling,https://en.wikipedia.org/wiki/Joan_Darling
Julie Dash,https://en.wikipedia.org/wiki/Julie_Dash
Byambasuren Davaa,https://en.wikipedia.org/wiki/Byambasuren_Davaa
Dorothy Davenport,https://en.wikipedia.org/wiki/Dorothy_Davenport
Tamra Davis,https://en.wikipedia.org/wiki/Tamra_Davis
Roxann Dawson,https://en.wikipedia.org/wiki/Roxann_Dawson
Linda Day,https://en.wikipedia.org/wiki/Linda_Day
Tracey Deer,https://en.wikipedia.org/wiki/Tracey_Deer
Regine Deforges,https://en.wikipedia.org/wiki/Regine_Deforges
Donna Deitch,https://en.wikipedia.org/wiki/Donna_Deitch
Julie Delpy,https://en.wikipedia.org/wiki/Julie_Delpy
Claire Denis,https://en.wikipedia.org/wiki/Claire_Denis
Pouran Derakhshandeh,https://en.wikipedia.org/wiki/Pouran_Derakhshandeh
Maya Deren,https://en.wikipedia.org/wiki/Maya_Deren
Dhvani Desai,https://en.wikipedia.org/wiki/Dhvani_Desai
Virginie Despentes,https://en.wikipedia.org/wiki/Virginie_Despentes
Arundhati Devi,https://en.wikipedia.org/wiki/Arundhati_Devi
Vivienne Dick,https://en.wikipedia.org/wiki/Vivienne_Dick
Katherine Dieckmann,https://en.wikipedia.org/wiki/Katherine_Dieckmann
Susie Dietter,https://en.wikipedia.org/wiki/Susie_Dietter
Mati Diop,https://en.wikipedia.org/wiki/Mati_Diop
Abigail Disney,https://en.wikipedia.org/wiki/Abigail_Disney
Leila Djansi,https://en.wikipedia.org/wiki/Leila_Djansi
Assia Djebar,https://en.wikipedia.org/wiki/Assia_Djebar
Yinka Djin,https://en.wikipedia.org/wiki/Yinka_Djin
Nana Djordjadze,https://en.wikipedia.org/wiki/Nana_Djordjadze
Shannen Doherty,https://en.wikipedia.org/wiki/Shannen_Doherty
Gail Dolgin,https://en.wikipedia.org/wiki/Gail_Dolgin
Doris Dörrie,https://en.wikipedia.org/wiki/Doris_D%C3%B6rrie
Illeana Douglas,https://en.wikipedia.org/wiki/Illeana_Douglas
Elissa Down,https://en.wikipedia.org/wiki/Elissa_Down
Polly Draper,https://en.wikipedia.org/wiki/Polly_Draper
Fran Drescher,https://en.wikipedia.org/wiki/Fran_Drescher
Germaine Dulac,https://en.wikipedia.org/wiki/Germaine_Dulac
Alma Duncan,https://en.wikipedia.org/wiki/Alma_Duncan
Lena Dunham,https://en.wikipedia.org/wiki/Lena_Dunham
Cheryl Dunye,https://en.wikipedia.org/wiki/Cheryl_Dunye
Marguerite Duras,https://en.wikipedia.org/wiki/Marguerite_Duras
Clea DuVall,https://en.wikipedia.org/wiki/Clea_DuVall
Ava DuVernay,https://en.wikipedia.org/wiki/Ava_DuVernay
Christine Edzard,https://en.wikipedia.org/wiki/Christine_Edzard
Michelle Ehlen,https://en.wikipedia.org/wiki/Michelle_Ehlen
Debra Eisenstadt,https://en.wikipedia.org/wiki/Debra_Eisenstadt
Jihan El-Tahri,https://en.wikipedia.org/wiki/Jihan_El-Tahri
Jan Eliasberg,https://en.wikipedia.org/wiki/Jan_Eliasberg
Bille Eltringham,https://en.wikipedia.org/wiki/Bille_Eltringham
Erma Elzy-Jones,https://en.wikipedia.org/wiki/Erma_Elzy-Jones
Diane English,https://en.wikipedia.org/wiki/Diane_English
Ildikó Enyedi,https://en.wikipedia.org/wiki/Ildik%C3%B3_Enyedi
Nora Ephron,https://en.wikipedia.org/wiki/Nora_Ephron
Marie Epstein,https://en.wikipedia.org/wiki/Marie_Epstein
Abby Epstein,https://en.wikipedia.org/wiki/Abby_Epstein
Deniz Gamze Ergüven,https://en.wikipedia.org/wiki/Deniz_Gamze_Erg%C3%BCven
Bang Eun-jin,https://en.wikipedia.org/wiki/Bang_Eun-jin
Ewa Ewart,https://en.wikipedia.org/wiki/Ewa_Ewart
Valie Export,https://en.wikipedia.org/wiki/Valie_Export
Trey Fanjoy,https://en.wikipedia.org/wiki/Trey_Fanjoy
Mitra Farahani,https://en.wikipedia.org/wiki/Mitra_Farahani
Danielle Faraldo,https://en.wikipedia.org/wiki/Danielle_Faraldo
Vera Farmiga,https://en.wikipedia.org/wiki/Vera_Farmiga
Forough Farrokhzad,https://en.wikipedia.org/wiki/Forough_Farrokhzad
Sepideh Farsi,https://en.wikipedia.org/wiki/Sepideh_Farsi
Safi Faye,https://en.wikipedia.org/wiki/Safi_Faye
Rachel Feldman,https://en.wikipedia.org/wiki/Rachel_Feldman
Lynne Fernie,https://en.wikipedia.org/wiki/Lynne_Fernie
Sally Field,https://en.wikipedia.org/wiki/Sally_Field
Chip Fields,https://en.wikipedia.org/wiki/Chip_Fields
Kim Fields,https://en.wikipedia.org/wiki/Kim_Fields
Martha Fiennes,https://en.wikipedia.org/wiki/Martha_Fiennes
Sophie Fiennes,https://en.wikipedia.org/wiki/Sophie_Fiennes
Denise Filiatrault,https://en.wikipedia.org/wiki/Denise_Filiatrault
Roberta Findlay,https://en.wikipedia.org/wiki/Roberta_Findlay
Frauke Finsterwalder,https://en.wikipedia.org/wiki/Frauke_Finsterwalder
Jenna Fischer,https://en.wikipedia.org/wiki/Jenna_Fischer
Jennifer Flackett,https://en.wikipedia.org/wiki/Jennifer_Flackett
Tracy Flannigan,https://en.wikipedia.org/wiki/Tracy_Flannigan
Luise Fleck,https://en.wikipedia.org/wiki/Luise_Fleck
Ann Marie Fleming,https://en.wikipedia.org/wiki/Ann_Marie_Fleming
Anne Fletcher,https://en.wikipedia.org/wiki/Anne_Fletcher
Anna Foerster,https://en.wikipedia.org/wiki/Anna_Foerster
Sheree Folkson,https://en.wikipedia.org/wiki/Sheree_Folkson
Anne Fontaine,https://en.wikipedia.org/wiki/Anne_Fontaine
Maya Forbes,https://en.wikipedia.org/wiki/Maya_Forbes
Sadaf Foroughi,https://en.wikipedia.org/wiki/Sadaf_Foroughi
Jodie Foster,https://en.wikipedia.org/wiki/Jodie_Foster
Kathryn Foster,https://en.wikipedia.org/wiki/Kathryn_Foster
Lilibet Foster,https://en.wikipedia.org/wiki/Lilibet_Foster
Beryl Fox,https://en.wikipedia.org/wiki/Beryl_Fox
Bonnie Franklin,https://en.wikipedia.org/wiki/Bonnie_Franklin
Raquel Freire,https://en.wikipedia.org/wiki/Raquel_Freire
Liz Friedlander,https://en.wikipedia.org/wiki/Liz_Friedlander
Kim Friedman,https://en.wikipedia.org/wiki/Kim_Friedman
Vivi Friedman,https://en.wikipedia.org/wiki/Vivi_Friedman
Su Friedrich,https://en.wikipedia.org/wiki/Su_Friedrich
Shirley Frimpong-Manso,https://en.wikipedia.org/wiki/Shirley_Frimpong-Manso
Grete Frische,https://en.wikipedia.org/wiki/Grete_Frische
Sarah Frost,https://en.wikipedia.org/wiki/Sarah_Frost
Soleil Moon Frye,https://en.wikipedia.org/wiki/Soleil_Moon_Frye
Pamela Fryman,https://en.wikipedia.org/wiki/Pamela_Fryman
Kei Fujiwara,https://en.wikipedia.org/wiki/Kei_Fujiwara
Bethany Joy Galeotti,https://en.wikipedia.org/wiki/Bethany_Joy_Galeotti
Nisha Ganatra,https://en.wikipedia.org/wiki/Nisha_Ganatra
Liz Garbus,https://en.wikipedia.org/wiki/Liz_Garbus
Nicole Garcia,https://en.wikipedia.org/wiki/Nicole_Garcia
Jennifer Garner,https://en.wikipedia.org/wiki/Jennifer_Garner
Katja von Garnier,https://en.wikipedia.org/wiki/Katja_von_Garnier
Katy Garretson,https://en.wikipedia.org/wiki/Katy_Garretson
Jennie Garth,https://en.wikipedia.org/wiki/Jennie_Garth
Karen Gaviola,https://en.wikipedia.org/wiki/Karen_Gaviola
Julie Gavras,https://en.wikipedia.org/wiki/Julie_Gavras
Sarah Gavron,https://en.wikipedia.org/wiki/Sarah_Gavron
Katrin Gebbe,https://en.wikipedia.org/wiki/Katrin_Gebbe
Geretta Geretta,https://en.wikipedia.org/wiki/Geretta_Geretta
Jennifer Getzinger,https://en.wikipedia.org/wiki/Jennifer_Getzinger
Tina Gharavi,https://en.wikipedia.org/wiki/Tina_Gharavi
Coky Giedroyc,https://en.wikipedia.org/wiki/Coky_Giedroyc
Maria Giese,https://en.wikipedia.org/wiki/Maria_Giese
Melody Gilbert,https://en.wikipedia.org/wiki/Melody_Gilbert
Melissa Gilbert,https://en.wikipedia.org/wiki/Melissa_Gilbert
Leah Gilliam,https://en.wikipedia.org/wiki/Leah_Gilliam
Abby Ginzberg,https://en.wikipedia.org/wiki/Abby_Ginzberg
Lillian Gish,https://en.wikipedia.org/wiki/Lillian_Gish
Ellen Gittelsohn,https://en.wikipedia.org/wiki/Ellen_Gittelsohn
Lesli Linka Glatter,https://en.wikipedia.org/wiki/Lesli_Linka_Glatter
Delphine Gleize,https://en.wikipedia.org/wiki/Delphine_Gleize
Alesia Glidewell,https://en.wikipedia.org/wiki/Alesia_Glidewell
Lana Gogoberidze,https://en.wikipedia.org/wiki/Lana_Gogoberidze
Whoopi Goldberg,https://en.wikipedia.org/wiki/Whoopi_Goldberg
Dennie Gordon,https://en.wikipedia.org/wiki/Dennie_Gordon
Marleen Gorris,https://en.wikipedia.org/wiki/Marleen_Gorris
Rachel Goslins,https://en.wikipedia.org/wiki/Rachel_Goslins
Lisa Gottlieb,https://en.wikipedia.org/wiki/Lisa_Gottlieb
Marita Grabiak,https://en.wikipedia.org/wiki/Marita_Grabiak
Debra Granik,https://en.wikipedia.org/wiki/Debra_Granik
Lee Grant,https://en.wikipedia.org/wiki/Lee_Grant
Susannah Grant,https://en.wikipedia.org/wiki/Susannah_Grant
Janet Greek,https://en.wikipedia.org/wiki/Janet_Greek
Lynnie Greene,https://en.wikipedia.org/wiki/Lynnie_Greene
Amy Greenfield,https://en.wikipedia.org/wiki/Amy_Greenfield
Lauren Greenfield,https://en.wikipedia.org/wiki/Lauren_Greenfield
